# z[m]  mass[kg]  radius[m]  G[-]  rho_org[kg/m3]  age[days]  skin_width[m]
  9.11511402E+04   1.15762500E-12   6.55062748E-06   3.29801756E-01   1.01975538E+03   7.50000000E-01   4.39021904E-06
  1.04216071E+05   1.15762500E-12   6.79653706E-06   3.74262417E-01   9.28970847E+02   7.50000000E-01   4.25284867E-06
  9.37627421E+04   1.15762500E-12   6.65363956E-06   5.24746543E-01   1.09667574E+03   7.50000000E-01   3.16216521E-06
  7.93656386E+04   1.15762500E-12   6.01548345E-06   2.11600584E-01   1.28174598E+03   7.50000000E-01   4.74260363E-06
  7.48762723E+04   1.15762500E-12   6.55029070E-06   5.06249981E-01   1.12993041E+03   7.50000000E-01   3.23420615E-06
  1.03385124E+05   1.15762500E-12   7.09578474E-06   7.61578025E-01   1.38555214E+03   7.50000000E-01   1.69179101E-06
  8.06706103E+04   1.15762500E-12   6.46917176E-06   6.16843614E-01   1.33384464E+03   7.50000000E-01   2.47870447E-06
  8.50763986E+04   1.15762500E-12   1.25162461E-05   9.14819520E-01   6.01330985E+02   7.50000000E-01   1.06613985E-06
  6.66597690E+04   1.15762500E-12   8.02693651E-06   7.18964902E-01   8.50396839E+02   7.50000000E-01   2.25585089E-06
  7.98738219E+04   1.15762500E-12   7.07301680E-06   6.04434233E-01   1.00237426E+03   7.50000000E-01   2.79784331E-06
  7.91932913E+04   1.15762500E-12   1.29694538E-05   9.17277330E-01   5.55122893E+02   7.50000000E-01   1.07286785E-06
  9.05221765E+04   1.15762500E-12   8.00681479E-06   3.00582655E-01   5.53423326E+02   7.50000000E-01   5.60010514E-06
  6.69558671E+04   1.15762500E-12   7.49853070E-06   8.23051183E-01   1.48143439E+03   7.50000000E-01   1.32685613E-06
  1.01150513E+05   1.15762500E-12   5.84433256E-06   8.05877802E-02   1.38516619E+03   7.50000000E-01   5.37335077E-06
  5.83883864E+04   1.15762500E-12   6.96564939E-06   2.60680805E-01   8.32447189E+02   7.50000000E-01   5.14983830E-06
  9.82863031E+04   1.15762500E-12   7.02159304E-06   5.18851976E-01   9.27922462E+02   7.50000000E-01   3.37842561E-06
  9.87534917E+04   1.15762500E-12   6.13834047E-06   4.05570271E-01   1.28029569E+03   7.50000000E-01   3.64881206E-06
  7.57712458E+04   1.15762500E-12   7.11064233E-06   2.08970384E-01   7.75772020E+02   7.50000000E-01   5.62472867E-06
  9.20382130E+04   1.15762500E-12   5.88418701E-06   3.11040579E-01   1.39858655E+03   7.50000000E-01   4.05396608E-06
  8.45875767E+04   1.15762500E-12   7.64836519E-06   4.54850197E-01   6.81859340E+02   7.50000000E-01   4.16950477E-06
  1.04368975E+05   1.15762500E-12   6.24129687E-06   5.35757740E-01   1.34329835E+03   7.50000000E-01   2.89747376E-06
  8.85269602E+04   1.15762500E-12   6.07421477E-06   7.71141036E-02   1.23369572E+03   7.50000000E-01   5.60580714E-06
